date,country,newcases
2021-05-11,albania,50
2021-05-12,albania,42
2021-05-13,albania,45
2021-05-14,albania,49
2021-05-15,albania,39
2021-05-16,albania,37
2021-05-17,albania,17
2021-05-18,albania,39
2021-05-19,albania,24
2021-05-20,albania,23
2021-05-21,albania,35
2021-05-22,albania,23
2021-05-23,albania,33
2021-05-24,albania,6
2021-05-25,albania,14
2021-05-26,albania,15
2021-05-27,albania,20
2021-05-28,albania,21
2021-05-29,albania,12
2021-05-30,albania,12
2021-05-31,albania,6
2021-06-01,albania,22
2021-06-02,albania,14
2021-06-03,albania,9
2021-06-04,albania,12
2021-06-05,albania,2
2021-06-06,albania,5
2021-06-07,albania,5
2021-06-08,albania,13
2021-06-09,albania,18
2021-06-10,albania,11
2021-06-11,albania,11
2021-06-12,albania,12
2021-06-13,albania,10
2021-06-14,albania,2
2021-06-15,albania,8
2021-06-16,albania,7
2021-06-17,albania,5
2021-06-18,albania,3
2021-06-19,albania,4
2021-06-20,albania,2
2021-06-21,albania,
2021-06-22,albania,6
2021-06-23,albania,1
2021-06-24,albania,2
2021-06-25,albania,7
2021-06-26,albania,3
2021-06-27,albania,3
2021-06-28,albania,1
2021-06-29,albania,1
2021-06-30,albania,7
2021-07-01,albania,2
2021-07-02,albania,3
2021-07-03,albania,8
2021-07-04,albania,1
2021-07-05,albania,2
2021-07-06,albania,7
2021-07-07,albania,13
2021-07-08,albania,8
2021-07-09,albania,15
2021-07-10,albania,7
2021-07-11,albania,5
2021-07-12,albania,5
2021-07-13,albania,11
2021-07-14,albania,8
2021-07-15,albania,13
2021-07-16,albania,18
2021-07-17,albania,18
2021-07-18,albania,21
2021-07-19,albania,11
2021-07-20,albania,43
2021-07-21,albania,23
2021-07-22,albania,34
2021-07-23,albania,31
2021-07-24,albania,25
2021-07-25,albania,22
2021-07-26,albania,16
2021-07-27,albania,31
2021-07-28,albania,30
2021-07-29,albania,47
2021-07-30,albania,37
2021-07-31,albania,45
2021-08-01,albania,40
2021-08-02,albania,25
2021-08-03,albania,65
2021-08-04,albania,99
2021-08-05,albania,132
2021-08-06,albania,149
2021-08-07,albania,139
2021-08-08,albania,182
2021-08-09,albania,69
2021-08-10,albania,220
2021-08-11,albania,286
2021-05-11,andorra,18
2021-05-12,andorra,23
2021-05-13,andorra,
2021-05-14,andorra,40
2021-05-15,andorra,
2021-05-16,andorra,
2021-05-17,andorra,45
2021-05-18,andorra,14
2021-05-19,andorra,
2021-05-20,andorra,
2021-05-21,andorra,
2021-05-22,andorra,
2021-05-23,andorra,
2021-05-24,andorra,
2021-05-25,andorra,95
2021-05-26,andorra,7
2021-05-27,andorra,11
2021-05-28,andorra,11
2021-05-29,andorra,
2021-05-30,andorra,
2021-05-31,andorra,34
2021-06-01,andorra,2
2021-06-02,andorra,15
2021-06-03,andorra,8
2021-06-04,andorra,6
2021-06-05,andorra,
2021-06-06,andorra,
2021-06-07,andorra,19
2021-06-08,andorra,4
2021-06-09,andorra,10
2021-06-10,andorra,14
2021-06-11,andorra,8
2021-06-12,andorra,
2021-06-13,andorra,
2021-06-14,andorra,13
2021-06-15,andorra,2
2021-06-16,andorra,8
2021-06-17,andorra,3
2021-06-18,andorra,3
2021-06-19,andorra,
2021-06-20,andorra,
2021-06-21,andorra,22
2021-06-22,andorra,
2021-06-23,andorra,9
2021-06-24,andorra,4
2021-06-25,andorra,5
2021-06-26,andorra,
2021-06-27,andorra,
2021-06-28,andorra,
2021-06-29,andorra,18
2021-06-30,andorra,11
2021-07-01,andorra,7
2021-07-02,andorra,
2021-07-03,andorra,
2021-07-04,andorra,
2021-07-05,andorra,
2021-07-06,andorra,73
2021-07-07,andorra,30
2021-07-08,andorra,29
2021-07-09,andorra,25
2021-07-10,andorra,
2021-07-11,andorra,
2021-07-12,andorra,80
2021-07-13,andorra,12
2021-07-14,andorra,
2021-07-15,andorra,72
2021-07-16,andorra,34
2021-07-17,andorra,
2021-07-18,andorra,
2021-07-19,andorra,86
2021-07-20,andorra,20
2021-07-21,andorra,
2021-07-22,andorra,85
2021-07-23,andorra,34
2021-07-24,andorra,
2021-07-25,andorra,
2021-07-26,andorra,79
2021-07-27,andorra,9
2021-07-28,andorra,
2021-07-29,andorra,69
2021-07-30,andorra,23
2021-07-31,andorra,
2021-08-01,andorra,
2021-08-02,andorra,69
2021-08-03,andorra,19
2021-08-04,andorra,31
2021-08-05,andorra,12
2021-08-06,andorra,27
2021-08-07,andorra,
2021-08-08,andorra,
2021-08-09,andorra,
2021-08-10,andorra,37
2021-08-11,andorra,18
2021-05-11,armenia,243
2021-05-12,armenia,354
2021-05-13,armenia,267
2021-05-14,armenia,230
2021-05-15,armenia,282
2021-05-16,armenia,131
2021-05-17,armenia,67
2021-05-18,armenia,212
2021-05-19,armenia,229
2021-05-20,armenia,191
2021-05-21,armenia,140
2021-05-22,armenia,181
2021-05-23,armenia,68
2021-05-24,armenia,34
2021-05-25,armenia,157
2021-05-26,armenia,130
2021-05-27,armenia,140
2021-05-28,armenia,104
2021-05-29,armenia,42
2021-05-30,armenia,81
2021-05-31,armenia,34
